コード	企業名	sector	industry	上場後の取引量	現在何倍株	最大何倍株	3,5,7,10,N倍まで何年	2倍まで何年	3倍まで何年	4倍まで何年	5倍まで何年	6倍まで何年	7倍まで何年	8倍まで何年	9倍まで何年	10倍まで何年
5845	全保連	産業	専門ビジネスサービス	46375400	1.2	2.2	"-1
-1
-1
-1
0.28"	0.27	-1	-1	-1	-1	-1	-1	-1	-1
6525	KOKUSAIELECTRIC	技術	Semiconductor Equipment & Materials	277957900	1.0	2.5	"-1
-1
-1
-1
0.73"	0.31	-1	-1	-1	-1	-1	-1	-1	-1
9236	ジャパンM&Aソリューション	産業	コンサルティングサービス	14945400	1.1	5.1	"-0.8
-0.61
-1
-1
-0.61"	-0.94	-0.8	-0.66	-0.61	-1	-1	-1	-1	-1
9235	売れるネット広告社	通信サービス	広告代理店	20447400	3.2	12.8	"0.13
0.14
0.16
0.18
0.18"	0.12	0.13	0.14	0.14	0.15	0.16	0.16	0.16	0.18
4896	ケイファーマ	ヘルスケア	バイオテクノロジー	9180900	1.3	1.7	"-1
-1
-1
-1
-0.16"	-1	-1	-1	-1	-1	-1	-1	-1	-1
9170	成友興業			-1				-1	-1	-1	-1	-1	-1	-1	-1	-1
9333	Earth TechnologyGroup			-1				-1	-1	-1	-1	-1	-1	-1	-1	-1
9331	キャスター	産業	人材派遣・雇用サービス	12718000	1.2	2.9	"-1
-1
-1
-1
-0.83"	-0.84	-1	-1	-1	-1	-1	-1	-1	-1
5592	くすりの窓口	ヘルスケア	健康情報サービス	37224400	1.3	2.0	"-1
-1
-1
-1
-0.69"	-1	-1	-1	-1	-1	-1	-1	-1	-1
6223	西部技研	産業	特殊産業機械	39619800	1.4	2.6	"-1
-1
-1
-1
-0.84"	-0.84	-1	-1	-1	-1	-1	-1	-1	-1
5843	ニッポンインシュア	金融サービス	Insurance—Diversified	13044900	1.8	1.8	"-1
-1
-1
-1
1.07"	-1	-1	-1	-1	-1	-1	-1	-1	-1
5591	AVILEN	技術	Software—Infrastructure	11789900	1.1	4.0	"-0.42
-1
-1
-1
-0.42"	-0.86	-0.42	-1	-1	-1	-1	-1	-1	-1
2938	オカムラ食品工業	消費者防衛	農産物	18949800	2.3	2.5	"-1
-1
-1
-1
0.96"	0.84	-1	-1	-1	-1	-1	-1	-1	-1
5590	ネットスターズ	技術	Software—Infrastructure	6271400	1.4	2.5	"-1
-1
-1
-1
0.65"	0.19	-1	-1	-1	-1	-1	-1	-1	-1
5589	オートサーバー	消費者循環	自動車・トラック販売	4731400	1.2	1.4	"-1
-1
-1
-1
0.77"	-1	-1	-1	-1	-1	-1	-1	-1	-1
6228	ジェイ・イー・ティ	技術	Semiconductor Equipment & Materials	30000	1.4	5.5	"2.68
3.03
-1
-1
3.03"	2.64	2.68	2.75	3.03	-1	-1	-1	-1	-1
5588	ファーストアカウンティング	技術	Software—Infrastructure	75180000	2.5	3.0	"-1
-1
-1
-1
0.27"	0.23	-1	-1	-1	-1	-1	-1	-1	-1
3958	笹徳印刷	産業	専門ビジネスサービス	29138700	1.1	1.6	"-1
-1
-1
-1
-0.86"	-1	-1	-1	-1	-1	-1	-1	-1	-1
9330	揚羽	通信サービス	広告代理店	17312500	1.1	3.2	"-0.87
-1
-1
-1
-0.87"	-0.87	-0.87	-1	-1	-1	-1	-1	-1	-1
