コード	企業名	sector	industry	上場後の取引量	現在何倍株	最大何倍株	3,5,7,10,N倍まで何年	2倍まで何年	3倍まで何年	4倍まで何年	5倍まで何年	6倍まで何年	7倍まで何年	8倍まで何年	9倍まで何年	10倍まで何年
3180	ビューティガレージ	消費者防衛	家庭用品・個人用品	42365000	8.4	15.6	"1.06
3.13
4.1
7.14
9.61"	-0.97	1.06	3.09	3.13	3.81	4.1	4.13	7.12	7.14
3181	買収王国	消費者循環	専門小売	17377400	1.6	3.6	"-0.98
-1
-1
-1
9.41"	-0.98	-0.98	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
4586	メドレックス	ヘルスケア	医薬品メーカー - 専門・ジェネリック	55720000	0.1	5.2	"-0.92
-0.75
-1
-1
-0.75"	-0.97	-0.92	-0.76	-0.75	-1.0	-1.0	-1.0	-1.0	-1.0
6034	ＭＲＴ	ヘルスケア	医療施設	26995400	1.4	10.5	"-0.64
0.58
0.58
0.6
0.6"	-0.65	-0.64	0.56	0.58	0.58	0.58	0.6	0.6	0.6
6033	エクストリーム	通信サービス	電子ゲーム・マルチメディア	51545600	4.1	15.4	"-0.99
-0.96
2.63
2.64
2.68"	-0.99	-0.99	-0.99	-0.96	2.63	2.63	2.64	2.64	2.64
3904	カヤック	通信サービス	電子ゲーム・マルチメディア	80832000	0.8	2.7	"-1
-1
-1
-1
2.51"	0.06	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
7815	東京ボード工業	基礎材料	木材・木製品生産	707000	0.6	1.7	"-1
-1
-1
-1
2.63"	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
3905	データセクション	技術	ソフトウェア - アプリケーション	111404600	2.1	6.5	"-0.96
8.32
-1
-1
8.32"	-1.0	-0.96	8.31	8.32	8.32	-1.0	-1.0	-1.0	-1.0
3221	ヨシックス	消費者循環	レストラン	7310400	4.9	6.3	"0.92
2.93
-1
-1
3.44"	0.52	0.92	2.83	2.93	2.99	-1.0	-1.0	-1.0	-1.0
3199	綿半ホールディングス	消費者循環	Home Improvement Retail	17403400	5.2	7.3	"2.45
3.01
3.11
-1
3.11"	0.94	2.45	2.88	3.01	3.07	3.11	-1.0	-1.0	-1.0
6032	インターワークス			-1				-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
