code	company_name
4206	アイカ工業株式会社
4996	クミアイ化学工業株式会社
7871	フクビ化学工業株式会社
4216	旭有機材株式会社
4620	藤倉化成株式会社
4221	大倉工業株式会社
4272	日本化薬株式会社
4367	広栄化学株式会社
4220	リケンテクノス株式会社
4222	児玉化学工業株式会社
4183	三井化学株式会社
4099	四国化成ホールディングス株式会社
4100	戸田工業株式会社
4228	積水化成品工業株式会社
5816	オーナンバ株式会社
4531	有機合成薬品工業株式会社
4274	細谷火工株式会社
4362	日本精化株式会社
4186	東京応化工業株式会社
4187	大阪有機化学工業株式会社
7958	天馬株式会社
7942	株式会社ジェイエスピー
7925	前澤化成工業株式会社
7894	丸東産業株式会社
7888	三光合成株式会社
7886	ヤマト　モビリティ　＆　Ｍｆｇ．株式会社
4960	ケミプロ化成株式会社
4242	株式会社タカギセイコー
3401	帝人株式会社
3402	東レ株式会社
3405	株式会社クラレ
3407	旭化成株式会社
4401	株式会社ＡＤＥＫＡ
4118	株式会社カネカ
4403	日油株式会社
4404	ミヨシ油脂株式会社
4406	新日本理化株式会社
4452	花王株式会社
4471	三洋化成工業株式会社
4461	第一工業製薬株式会社
4409	東邦化学工業株式会社
4463	日華化学株式会社
4365	松本油脂製薬株式会社
4465	株式会社ニイタカ
4611	大日本塗料株式会社
4612	日本ペイントホールディングス株式会社
4613	関西ペイント株式会社
4615	神東塗料株式会社
4616	川上塗料株式会社
4617	中国塗料株式会社
4095	日本パーカライジング株式会社
4119	日本ピグメント株式会社
4619	日本特殊塗料株式会社
4631	ＤＩＣ株式会社
4116	大日精化工業株式会社
4634	ａｒｔｉｅｎｃｅ株式会社
4635	東京インキ株式会社
4633	サカタインクス株式会社
4120	スガイ化学工業株式会社
4623	株式会社アサヒペン
4624	イサム塗料株式会社
4625	アトミクス株式会社
7953	菊水化学工業株式会社
4626	太陽ホールディングス株式会社
4627	ナトコ株式会社
4628	エスケー化研株式会社
4629	大伸化学株式会社
4502	武田薬品工業株式会社
4503	アステラス製薬株式会社
4506	住友ファーマ株式会社
4507	塩野義製薬株式会社
8841	株式会社テーオーシー
4512	わかもと製薬株式会社
4516	日本新薬株式会社
4519	中外製薬株式会社
4551	鳥居薬品株式会社
4521	科研製薬株式会社
4997	日本農薬株式会社
4523	エーザイ株式会社
4524	森下仁丹株式会社
4527	ロート製薬株式会社
4530	久光製薬株式会社
4528	小野薬品工業株式会社
4534	持田製薬株式会社
4559	ゼリア新薬工業株式会社
4536	参天製薬株式会社
4526	理研ビタミン株式会社
4538	扶桑薬品工業株式会社
4539	日本ケミファ株式会社
4549	栄研化学株式会社
4547	キッセイ薬品工業株式会社
4544	Ｈ．Ｕ．グループホールディングス株式会社
4548	生化学工業株式会社
4552	ＪＣＲファーマ株式会社
4553	東和薬品株式会社
4554	富士製薬工業株式会社
4556	株式会社カイノス
4565	ネクセラファーマ株式会社
4568	第一三共株式会社
4569	杏林製薬株式会社
4570	株式会社免疫生物研究所
4572	カルナバイオサイエンス株式会社
4901	富士フイルムホールディングス株式会社
4902	コニカミノルタ株式会社
4911	株式会社資生堂
4912	ライオン株式会社
4914	高砂香料工業株式会社
3553	共和レザー株式会社
7971	東リ株式会社
3551	ダイニック株式会社
4218	ニチバン株式会社
4992	北興化学工業株式会社
4208	ＵＢＥ株式会社
5010	日本精蝋株式会社
4361	川口化学工業株式会社
4998	フマキラー株式会社
4212	積水樹脂株式会社
4995	サンケイ化学株式会社
4366	ダイトーケミックス株式会社
4985	アース製薬株式会社
4540	株式会社ツムラ
4951	エステー株式会社
4410	ハリマ化成グループ株式会社
4231	タイガースポリマー株式会社
4917	株式会社マンダム
4107	伊勢化学工業株式会社
7928	旭化学工業株式会社
7927	ムトー精工株式会社
4957	ヤスハラケミカル株式会社
4958	長谷川香料株式会社
4918	株式会社アイビー化粧品
4919	株式会社ミルボン
4920	株式会社日本色材工業研究所
4966	上村工業株式会社
4967	小林製薬株式会社
4968	荒川化学工業株式会社
4922	株式会社コーセー
4080	株式会社田中化学研究所
4970	東洋合成工業株式会社
4234	株式会社サンエー化研
7856	萩原工業株式会社
4971	メック株式会社
4972	綜研化学株式会社
4368	扶桑化学工業株式会社
4464	株式会社ソフト９９コーポレーション
4994	大成ラミック株式会社
4923	コタ株式会社
4973	日本高純度化学株式会社
4235	ウルトラファブリックス・ホールディングス株式会社
4925	株式会社ハーバー研究所
2927	株式会社ＡＦＣ－ＨＤアムスライフサイエンス
4975	株式会社ＪＣＵ
4241	株式会社アテクト
4976	東洋ドライルーブ株式会社
8131	株式会社ミツウロコグループホールディングス
8132	シナネンホールディングス株式会社
5009	富士興産株式会社
5011	ニチレキグループ株式会社
5013	ユシロ化学工業株式会社
5017	富士石油株式会社
5018	株式会社ＭＯＲＥＳＣＯ
5019	出光興産株式会社
5101	横浜ゴム株式会社
5108	株式会社ブリヂストン
5103	昭和ホールディングス株式会社
5105	ＴＯＹＯ　ＴＩＲＥ株式会社
5195	バンドー化学株式会社
5121	藤倉コンポジット株式会社
5194	相模ゴム工業株式会社
5142	アキレス株式会社
5191	住友理工株式会社
5192	三ツ星ベルト株式会社
5122	オカモト株式会社
4224	ロンシール工業株式会社
5189	櫻護謨株式会社
7282	豊田合成株式会社
5199	不二ラテックス株式会社
5110	住友ゴム工業株式会社
5186	ニッタ株式会社
5161	西川ゴム工業株式会社
5185	株式会社フコク
5184	株式会社ニチリン
5162	株式会社朝日ラバー
7938	株式会社リーガルコーポレーション
7932	株式会社ニッピ
5202	日本板硝子株式会社
5201	ＡＧＣ株式会社
5204	石塚硝子株式会社
7741	ＨＯＹＡ株式会社
5210	日本山村硝子株式会社
5232	住友大阪セメント株式会社
5233	太平洋セメント株式会社
5355	日本坩堝株式会社
5343	ニッコー株式会社
5334	日本特殊陶業株式会社
5333	日本碍子株式会社
5332	ＴＯＴＯ株式会社
5331	ノリタケ株式会社
5302	日本カーボン株式会社
5337	ダントーホールディングス株式会社
5269	日本コンクリート工業株式会社
5268	旭コンクリート工業株式会社
5351	品川リフラクトリーズ株式会社
5357	株式会社　ヨータイ
5363	東京窯業株式会社
5352	黒崎播磨株式会社
5393	ニチアス株式会社
5208	株式会社有沢製作所
5261	リソルホールディングス株式会社
5262	日本ヒューム株式会社
1871	ピーエス・コンストラクション株式会社
5301	東海カーボン株式会社
5391	株式会社エーアンドエーマテリアル
7995	株式会社バルカー
5271	株式会社トーヨーアサノ
5237	株式会社ノザワ
5273	三谷セキサン株式会社
5218	株式会社オハラ
4990	昭和化学工業株式会社
5304	ＳＥＣカーボン株式会社
5277	株式会社スパンクリートコーポレーション
5341	ＡＳＡＨＩ　ＥＩＴＯホールディングス株式会社
5342	ジャニス工業株式会社
5356	美濃窯業株式会社
6971	京セラ株式会社
7979	株式会社松風
5367	株式会社ニッカトー
5214	日本電気硝子株式会社
5388	クニミネ工業株式会社
5279	日本興業株式会社
5280	ヨシコン株式会社
5386	株式会社鶴弥
5216	株式会社倉元製作所
5282	ジオスター株式会社
5384	株式会社フジミインコーポレーテッド
5283	株式会社高見澤
5344	株式会社ＭＡＲＵＷＡ
5284	ヤマウホールディングス株式会社
5285	株式会社ヤマックス
5287	株式会社イトーヨーギョー
5381	Ｍｉｐｏｘ株式会社
5380	新東株式会社
7746	岡本硝子株式会社
5288	アジアパイルホールディングス株式会社
5310	東洋炭素株式会社
5401	日本製鉄株式会社
5408	株式会社中山製鋼所
7231	トピー工業株式会社
5406	株式会社　神戸製鋼所
5631	株式会社日本製鋼所
5632	三菱製鋼株式会社
5482	愛知製鋼株式会社
5410	合同製鐵株式会社
5609	日本鋳造株式会社
5610	大和重工株式会社
5471	大同特殊鋼株式会社
5476	日本高周波鋼業株式会社
5480	日本冶金工業株式会社
5481	山陽特殊製鋼株式会社
5484	東北特殊鋼株式会社
5451	株式会社淀川製鋼所
5461	中部鋼鈑株式会社
5463	丸一鋼管株式会社
5541	大平洋金属株式会社
5563	新日本電工株式会社
5542	新報国マテリアル株式会社
5444	大和工業株式会社
5446	北越メタル株式会社
5423	東京製鐵株式会社
5449	大阪製鐵株式会社
5411	ＪＦＥホールディングス株式会社
5440	共英製鋼株式会社
6326	株式会社　クボタ
5602	株式会社栗本鐵工所
5603	虹技株式会社
5458	高砂鐵工株式会社
5491	日本金属株式会社
6439	中日本鋳工株式会社
5659	日本精線株式会社
5660	神鋼鋼線工業株式会社
5612	日本鋳鉄管株式会社
5607	中央可鍛工業株式会社
5658	日亜鋼業株式会社
6319	株式会社シンニッタン
5445	東京鐵鋼株式会社
5695	パウダーテック株式会社
5697	株式会社サンユウ
3423	株式会社エスイー
5721	株式会社エス・サイエンス
5727	東邦チタニウム株式会社
5852	株式会社アーレスティ
5753	日本伸銅株式会社
5707	東邦亜鉛株式会社
5464	モリ工業株式会社
5938	株式会社ＬＩＸＩＬ
5702	株式会社大紀アルミニウム工業所
5928	アルメタックス株式会社
5757	株式会社ＣＫサンエツ
7414	小野建株式会社
5900	株式会社ダイケン
5726	株式会社大阪チタニウムテクノロジーズ
5856	株式会社エルアイイーエイチ
5741	株式会社ＵＡＣＪ
5742	エヌアイシ・オートテック株式会社
5801	古河電気工業株式会社
5802	住友電気工業株式会社
5803	株式会社フジクラ
5805	ＳＷＣＣ株式会社
5817	ＪＭＡＣＳ株式会社
5819	カナレ電気株式会社
5820	株式会社三ッ星
5821	平河ヒューテック株式会社
5901	東洋製罐グループホールディングス株式会社
5902	ホッカンホールディングス株式会社
5911	株式会社横河ブリッジホールディングス
5915	株式会社駒井ハルテック
5918	瀧上工業株式会社
5922	那須電機鉄工株式会社
5974	中国工業株式会社
5991	日本発條株式会社
5952	アマテイ株式会社
5955	株式会社ワイズホールディングス
5942	日本フイルコン株式会社
6306	日工株式会社
5923	高田機工株式会社
6136	オーエスジー株式会社
5981	東京製綱株式会社
5851	リョービ株式会社
5967	ＴＯＮＥ株式会社
5921	川岸工業株式会社
5975	東プレ株式会社
5929	三和ホールディングス株式会社
5962	浅香工業株式会社
5998	株式会社　アドバネクス
1921	株式会社　巴コーポレーション
5994	株式会社ファインシンター
9930	北沢産業株式会社
5976	高周波熱錬株式会社
5985	サンコール株式会社
5969	株式会社ロブテックス
5992	中央発條株式会社
5905	日本製罐株式会社
5958	三洋工業株式会社
5986	モリテックスチール株式会社
5959	岡部株式会社
5930	文化シヤッター株式会社
6486	イーグル工業株式会社
5936	東洋シヤッター株式会社
5947	リンナイ株式会社
5993	知多鋼業株式会社
5966	京都機械工具株式会社
5950	日本パワーファスニング株式会社
5940	不二サッシ株式会社
5939	株式会社大谷工業
5945	天龍製鋸株式会社
5951	ダイニチ工業株式会社
7939	株式会社研創
5933	アルインコ株式会社
5997	協立エアテック株式会社
