日付	コード	企業名	iXBRLのURL	タイトル	PDFのURL
2019-02-07	3774	3774	/disc/37740/081220190205470746_tse-qcedussm-37740-20190205470746-ixbrl.htm	2019年3月期 第3四半期決算短信〔米国基準〕(連結)	/disc/37740/140120190205470746.pdf
2018-11-06	3774	3774	/disc/37740/081220181105430338_tse-qcedussm-37740-20181105430338-ixbrl.htm	2019年3月期 第2四半期決算短信〔米国基準〕(連結)	/disc/37740/140120181105430338.pdf
2018-08-08	3774	3774	/disc/37740/081220180807493419_tse-qcedussm-37740-20180807493419-ixbrl.htm	2019年3月期 第1四半期決算短信〔米国基準〕(連結)	/disc/37740/140120180807493419.pdf
2018-05-15	3774	3774	/disc/37740/081220180514437659_tse-acedussm-37740-20180514437659-ixbrl.htm	平成30年3月期 決算短信[米国基準](連結)	/disc/37740/140120180514437659.pdf
2018-02-08	3774	3774	/disc/37740/081220180207466173_tse-qcedussm-37740-20180207466173-ixbrl.htm	平成30年3月期 第3四半期決算短信〔米国基準〕(連結)	/disc/37740/140120180207466173.pdf
2017-11-07	3774	3774	/disc/37740/081220171106409577_tse-qcedussm-37740-20171106409577-ixbrl.htm	平成30年3月期 第2四半期決算短信〔米国基準〕(連結)	/disc/37740/140120171106409577.pdf
2017-08-08	3774	3774	/disc/37740/081220170807450608_tse-qcedussm-37740-20170807450608-ixbrl.htm	平成30年3月期 第1四半期決算短信〔米国基準〕(連結)	/disc/37740/140120170807450608.pdf
2017-05-15	3774	3774	/disc/37740/081220170512471355_tse-acedussm-37740-20170512471355-ixbrl.htm	平成29年3月期 決算短信[米国基準](連結)	/disc/37740/140120170512471355.pdf
2017-02-08	3774	3774	/disc/37740/081220170207493045_tse-qcedussm-37740-20170207493045-ixbrl.htm	平成29年3月期 第3四半期決算短信〔米国基準〕(連結)	/disc/37740/140120170207493045.pdf
2016-11-08	3774	3774	/disc/37740/081220161107433411_tse-qcedussm-37740-20161107433411-ixbrl.htm	平成29年3月期 第2四半期決算短信〔米国基準〕(連結)	/disc/37740/140120161107433411.pdf
2016-08-05	3774	3774	/disc/37740/081220160804467744_tse-qcedussm-37740-20160804467744-ixbrl.htm	平成29年3月期 第1四半期決算短信〔米国基準〕(連結)	/disc/37740/140120160804467744.pdf
2026-08-06	4809	4809	/disc/48090/081220260723598205_tse-qnedjpsm-48090-20260723598205-ixbrl.htm	令和8年9月期 第3四半期決算短信〔日本基準〕（非連結）	/disc/48090/140120260723598205.pdf
2026-05-13	4809	4809	/disc/48090/081220260420506490_tse-snedjpsy-48090-20260420506490-ixbrl.htm	令和8年9月期 第2四半期（中間期）決算短信〔日本基準〕（非連結）	/disc/48090/140120260420506490.pdf
2026-02-06	4809	4809	/disc/48090/081220260126538625_tse-qnedjpsm-48090-20260126538625-ixbrl.htm	令和8年9月期 第1四半期決算短信〔日本基準〕（非連結）	/disc/48090/140120260126538625.pdf
2025-11-07	4809	4809	/disc/48090/081220251022576873_tse-anedjpsm-48090-20251022576873-ixbrl.htm	令和7年9月期決算短信〔日本基準〕（非連結）	/disc/48090/140120251022576873.pdf
2025-08-07	4809	4809	/disc/48090/081220250725520768_tse-qnedjpsm-48090-20250725520768-ixbrl.htm	令和7年9月期 第3四半期決算短信〔日本基準〕（非連結）	/disc/48090/140120250725520768.pdf
2025-05-09	4809	4809	/disc/48090/081220250422519815_tse-snedjpsy-48090-20250422519815-ixbrl.htm	令和7年9月期 第2四半期（中間期）決算短信〔日本基準〕（非連結）	/disc/48090/140120250422519815.pdf
2025-02-07	4809	4809	/disc/48090/081220250127555864_tse-qnedjpsm-48090-20250127555864-ixbrl.htm	令和7年9月期 第1四半期決算短信〔日本基準〕（非連結）	/disc/48090/140120250127555864.pdf
2024-11-08	4809	4809	/disc/48090/081220241024502499_tse-anedjpsm-48090-20241024502499-ixbrl.htm	令和6年9月期決算短信〔日本基準〕（非連結）	/disc/48090/140120241024502499.pdf
2024-08-07	4809	4809	/disc/48090/081220240722552332_tse-qnedjpsm-48090-20240722552332-ixbrl.htm	令和6年9月期 第3四半期決算短信〔日本基準〕（非連結）	/disc/48090/140120240722552332.pdf
2024-05-09	4809	4809	/disc/48090/081220240424575635_tse-qnedjpsm-48090-20240424575635-ixbrl.htm	令和6年9月期 第2四半期決算短信〔日本基準〕（非連結）	/disc/48090/140120240424575635.pdf
2024-02-07	4809	4809	/disc/48090/081220240126519929_tse-qnedjpsm-48090-20240126519929-ixbrl.htm	令和6年9月期 第1四半期決算短信〔日本基準〕（非連結）	/disc/48090/140120240126519929.pdf
2023-11-08	4809	4809	/disc/48090/081220231026572514_tse-anedjpsm-48090-20231026572514-ixbrl.htm	令和5年9月期決算短信〔日本基準〕（非連結）	/disc/48090/140120231026572514.pdf
2023-08-03	4809	4809	/disc/48090/081220230720524861_tse-qnedjpsm-48090-20230720524861-ixbrl.htm	令和5年9月期 第3四半期決算短信〔日本基準〕（非連結）	/disc/48090/140120230720524861.pdf
