コード	企業名	競合リスト
3904	カヤック	"[{""code"": ""2121"", ""name"": ""MIXI""}, {""code"": ""2432"", ""name"": ""DeNA""}, {""code"": ""4751"", ""name"": ""サイバーA""}]"
7815	東京ボード工業	"[{""code"": ""7822"", ""name"": ""永大産業""}, {""code"": ""7879"", ""name"": ""ノダ""}]"
3905	データセクション	"[{""code"": ""3653"", ""name"": ""モルフォ""}, {""code"": ""3993"", ""name"": ""PKSHA""}]"
3221	ヨシックス	"[{""code"": ""3082"", ""name"": ""きちりHD""}, {""code"": ""3193"", ""name"": ""エタナルH""}, {""code"": ""7524"", ""name"": ""マルシェ""}]"
3199	綿半ホールディングス	"[{""code"": ""1780"", ""name"": ""ヤマウラ""}, {""code"": ""3094"", ""name"": ""スーパーV""}, {""code"": ""9956"", ""name"": ""バローHD""}]"
6032	インターワークス	
9517	イーレックス	"[{""code"": ""8131"", ""name"": ""ミツウロコ""}, {""code"": ""8174"", ""name"": ""日本ガス""}]"
6031	サイジニア	"[{""code"": ""3655"", ""name"": ""Bパッド""}, {""code"": ""4165"", ""name"": ""プレイド""}]"
9551	メタウォーター	"[{""code"": ""6368"", ""name"": ""オルガノ""}, {""code"": ""6403"", ""name"": ""水道機工""}, {""code"": ""6489"", ""name"": ""前沢工業""}]"
6030	アドベンチャー	"[{""code"": ""2371"", ""name"": ""カカクコム""}, {""code"": ""3679"", ""name"": ""じげん""}]"
3903	ｇｕｍｉ	"[{""code"": ""2121"", ""name"": ""MIXI""}, {""code"": ""3668"", ""name"": ""コロプラ""}, {""code"": ""3765"", ""name"": ""ガンホー""}]"
2883	大冷	"[{""code"": ""1301"", ""name"": ""極洋""}, {""code"": ""1333"", ""name"": ""マルハニチ""}, {""code"": ""2877"", ""name"": ""日東ベスト""}]"
4248	竹本容器	"[{""code"": ""4994"", ""name"": ""大成ラミク""}, {""code"": ""7864"", ""name"": ""フジシール""}, {""code"": ""7947"", ""name"": ""エフピコ""}]"
7175	今村証券	"[{""code"": ""8614"", ""name"": ""東洋証券""}, {""code"": ""8700"", ""name"": ""丸八証券""}, {""code"": ""8706"", ""name"": ""極東証券""}]"
2586	フルッタフルッタ	"[{""code"": ""2750"", ""name"": ""石光商事""}, {""code"": ""8079"", ""name"": ""正栄食品""}]"
3198	ＳＦＰダイニング	"[{""code"": ""3073"", ""name"": ""DDG""}, {""code"": ""3178"", ""name"": ""チムニー""}, {""code"": ""3193"", ""name"": ""エタナルH""}]"
9418	Ｕ−ＮＥＸＴ	"[{""code"": ""9419"", ""name"": ""ワイヤG""}]"
3901	マークラインズ	"[{""code"": ""2185"", ""name"": ""CMC""}, {""code"": ""2413"", ""name"": ""エムスリー""}, {""code"": ""9474"", ""name"": ""ゼンリン""}]"
3902	メディカル・データ・ビジョン	"[{""code"": ""2413"", ""name"": ""エムスリー""}, {""code"": ""4483"", ""name"": ""JMDC""}, {""code"": ""6095"", ""name"": ""メドピア""}]"
6029	アトラ	"[{""code"": ""7062"", ""name"": ""フレアス""}, {""code"": ""7090"", ""name"": ""リグア""}]"
